,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state
319465,salt lake city,1245,apartment,462,0,1.0,1,1,0,0,0,1,w/d in unit,attached garage,ut
252764,lehigh valley,1320,apartment,996,1,1.0,1,1,1,0,0,0,w/d in unit,,pa
293630,corpus christi,875,apartment,663,1,1.0,1,1,1,0,0,0,,,tx
154354,lansing,975,apartment,1000,2,2.0,1,1,1,0,0,0,w/d in unit,carport,mi
228449,cleveland,950,townhouse,1026,2,1.5,1,1,1,0,0,0,w/d hookups,,oh
107081,iowa city,1550,house,850,3,1.5,0,0,1,0,0,0,laundry on site,carport,ia
126253,lafayette,810,apartment,894,2,2.0,0,0,1,0,0,0,,,la
286080,amarillo,615,apartment,364,0,1.0,1,1,0,1,0,1,laundry on site,,tx
349742,huntsville / decatur,995,apartment,1560,3,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,al
107964,omaha / council bluffs,657,apartment,650,1,1.0,1,1,1,0,0,0,laundry in bldg,off-street parking,ia
187651,raleigh / durham / CH,1215,apartment,1311,3,2.0,0,0,1,0,0,0,,,nc
240675,tulsa,559,apartment,550,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ok
263888,columbia,1000,apartment,1035,2,2.0,0,0,1,0,0,0,,,sc
14669,ventura county,3200,house,2400,3,1.5,1,1,1,0,0,0,w/d hookups,attached garage,ca
24250,fort collins / north CO,2450,house,2894,4,2.5,0,0,0,0,0,0,w/d hookups,attached garage,co
324572,fredericksburg,1345,apartment,1309,3,2.5,1,1,1,0,0,0,w/d hookups,,va
11227,stockton,1229,apartment,830,2,1.0,1,1,1,0,0,0,w/d hookups,carport,ca
158485,bemidji,600,apartment,650,1,0.0,0,0,1,0,0,0,,,mn
207500,albany,985,apartment,613,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,ny
83267,boise,113,apartment,655,1,1.0,0,0,1,0,0,0,,,id
373660,inland empire,1275,apartment,640,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
185425,jacksonville,925,apartment,1069,2,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,nc
339430,eastern panhandle,580,apartment,750,2,2.0,0,1,1,0,0,0,,,wv
280874,memphis,780,apartment,1600,3,2.0,1,1,1,0,0,0,w/d hookups,carport,tn
193245,lincoln,807,apartment,665,1,1.0,0,0,1,0,0,0,,,ne
157635,saginaw-midland-baycity,805,apartment,975,2,1.0,0,0,1,0,0,0,,,mi
120134,lexington,799,apartment,826,2,1.0,1,1,1,0,0,0,w/d hookups,,ky
323085,fredericksburg,1198,apartment,787,1,1.0,1,1,1,0,0,0,w/d in unit,,va
333961,kennewick-pasco-richland,1168,apartment,958,2,1.0,1,1,1,0,0,0,w/d in unit,carport,wa
343232,madison,890,apartment,675,1,1.0,1,1,0,0,0,0,w/d hookups,off-street parking,wi
17191,boulder,1270,apartment,594,1,1.0,1,1,0,0,0,0,laundry in bldg,off-street parking,co
61319,tallahassee,575,apartment,550,1,1.0,0,0,1,0,0,0,laundry on site,off-street parking,fl
54450,sarasota-bradenton,1462,apartment,1025,2,1.0,1,1,1,0,0,0,,,fl
352018,mobile,948,apartment,1073,2,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,al
145508,ann arbor,999,manufactured,1056,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,mi
219699,bismarck,920,apartment,960,2,2.0,0,0,0,0,0,0,w/d in unit,detached garage,nd
358551,mohave county,805,apartment,919,2,1.5,0,0,1,0,0,0,w/d hookups,carport,az
140904,cape cod / islands,1800,townhouse,1000,2,1.5,1,1,0,0,0,1,w/d in unit,off-street parking,ma
10680,stockton,975,apartment,550,0,1.0,1,1,1,0,0,0,laundry on site,carport,ca
287186,austin,1392,apartment,1154,3,2.0,1,1,1,0,0,0,w/d in unit,,tx
369726,fresno / madera,1549,apartment,1033,2,2.0,0,0,0,0,0,0,w/d in unit,attached garage,ca
98377,evansville,699,apartment,720,1,1.0,1,1,1,0,0,1,laundry on site,,in
353692,mobile,790,apartment,648,1,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,al
340660,eau claire,919,apartment,840,2,1.0,1,0,1,0,0,0,w/d in unit,detached garage,wi
107260,omaha / council bluffs,1295,apartment,1267,2,2.0,1,1,0,1,0,1,w/d in unit,attached garage,ia
119149,bowling green,669,apartment,660,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ky
26939,eastern CT,1090,apartment,800,2,0.0,1,1,1,0,0,0,laundry in bldg,off-street parking,ct
103541,cedar rapids,800,apartment,1000,2,1.0,0,0,0,0,0,0,w/d in unit,off-street parking,ia
155364,lansing,1640,apartment,1300,2,2.0,1,1,0,1,0,0,w/d in unit,attached garage,mi
276600,jackson,875,apartment,1341,3,2.0,0,0,1,0,0,0,,,tn
343466,madison,850,apartment,1000,2,1.0,0,0,0,0,0,0,laundry in bldg,off-street parking,wi
285907,amarillo,509,apartment,700,2,2.0,1,1,1,1,0,1,w/d in unit,off-street parking,tx
60990,tallahassee,600,house,1500,3,2.0,1,1,1,0,0,1,laundry in bldg,attached garage,fl
380963,orange county,2159,apartment,727,1,1.0,1,1,0,1,0,0,w/d in unit,,ca
50720,orlando,1830,apartment,1287,3,2.0,0,0,1,0,0,0,,,fl
65175,treasure coast,1049,apartment,897,1,1.0,1,1,1,0,0,0,,,fl
197713,buffalo,650,apartment,600,1,1.0,1,0,1,0,0,0,laundry in bldg,off-street parking,ny
375894,los angeles,2140,apartment,1028,2,2.0,1,1,0,0,0,0,w/d in unit,detached garage,ca
340538,appleton-oshkosh-FDL,675,apartment,717,2,1.0,1,1,0,0,0,0,,,wi
21173,denver,1195,apartment,900,2,2.0,1,1,1,0,0,0,,,co
158587,duluth / superior,1800,house,1600,4,1.0,0,0,0,0,0,0,w/d in unit,attached garage,mn
145894,ann arbor,840,apartment,960,2,1.0,1,1,1,0,0,0,laundry in bldg,off-street parking,mi
62977,tampa bay area,1150,apartment,800,2,2.0,1,1,1,0,0,0,laundry on site,,fl
101563,kokomo,709,townhouse,960,2,1.5,1,1,1,0,0,0,w/d hookups,,in
110179,sioux city,850,house,1200,2,1.5,0,0,0,0,0,0,w/d in unit,detached garage,ia
376000,los angeles,2550,apartment,1100,1,1.0,1,1,0,0,0,0,laundry in bldg,detached garage,ca
347215,birmingham,1000,condo,1694,4,1.5,1,1,1,0,0,0,,,al
203106,south jersey,1350,apartment,820,3,1.0,1,1,1,0,0,0,laundry on site,off-street parking,nj
254414,philadelphia,1585,townhouse,1142,2,2.5,0,0,1,0,0,0,w/d in unit,off-street parking,pa
257841,scranton / wilkes-barre,659,apartment,1091,3,3.0,0,0,0,1,0,1,w/d in unit,off-street parking,pa
117870,wichita,435,apartment,1047,2,2.0,0,0,1,0,0,0,laundry on site,carport,ks
233271,toledo,904,townhouse,935,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,oh
281633,nashville,880,apartment,775,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,tn
26545,western slope,650,apartment,500,1,1.0,0,0,0,0,0,0,laundry on site,off-street parking,co
183463,greensboro,997,apartment,1170,2,2.0,1,1,1,1,0,0,w/d in unit,off-street parking,nc
112874,lawrence,1488,house,1905,3,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ks
342305,madison,1225,apartment,720,2,1.0,0,0,0,0,0,0,laundry on site,off-street parking,wi
77141,northwest GA,1300,apartment,1149,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,ga
83712,boise,499,apartment,1064,4,2.0,0,0,1,0,0,1,laundry on site,off-street parking,id
335785,seattle-tacoma,1459,apartment,700,1,1.0,1,1,0,0,0,0,w/d in unit,,wa
29968,new haven,1115,apartment,500,1,1.0,1,1,1,0,0,0,laundry in bldg,off-street parking,ct
278769,knoxville,899,apartment,912,2,2.0,1,1,0,0,0,0,w/d hookups,,tn
88587,champaign urbana,735,apartment,622,1,1.0,1,1,0,0,0,0,laundry in bldg,attached garage,il
252711,lehigh valley,800,apartment,1296,3,1.0,1,1,1,0,0,0,laundry in bldg,,pa
27469,hartford,1040,apartment,582,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ct
201195,jersey shore,1450,condo,618,1,1.0,1,1,0,0,0,0,laundry in bldg,off-street parking,nj
223717,akron / canton,970,apartment,1070,3,2.0,1,1,1,0,0,0,laundry in bldg,off-street parking,oh
217569,new hampshire,2005,apartment,1183,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,nh
159225,fargo / moorhead,1200,apartment,1477,3,2.0,0,0,1,0,0,0,w/d in unit,attached garage,mn
155302,lansing,882,apartment,699,1,1.0,1,1,0,0,0,0,w/d in unit,,mi
314980,wichita falls,875,apartment,1026,2,1.0,1,1,0,0,0,0,,,tx
290124,beaumont / port arthur,869,apartment,691,1,1.0,0,0,1,0,0,0,,,tx
125789,baton rouge,904,apartment,680,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,la
354100,montgomery,650,apartment,1000,2,2.0,1,1,1,0,0,0,w/d hookups,,al
143285,worcester / central MA,1850,apartment,1500,4,2.0,0,0,0,0,0,0,w/d hookups,off-street parking,ma
68245,athens,725,apartment,674,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ga
159253,fargo / moorhead,1215,apartment,1440,3,2.0,0,0,1,1,0,0,,,mn
236967,oklahoma city,650,apartment,975,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ok
151246,grand rapids,760,apartment,540,1,0.0,1,1,1,0,0,0,laundry in bldg,carport,mi
75954,macon / warner robins,655,apartment,950,1,1.0,0,0,1,0,0,0,laundry on site,off-street parking,ga
161183,minneapolis / st paul,1635,apartment,1092,2,2.0,1,1,0,0,0,0,w/d in unit,attached garage,mn
248233,salem,1320,apartment,1029,2,2.0,1,1,0,0,0,0,w/d in unit,street parking,or
361646,tucson,584,apartment,1090,3,2.0,0,0,1,0,0,1,laundry on site,off-street parking,az
28385,hartford,2244,apartment,1500,3,2.0,1,1,1,0,0,0,,,ct
55643,sarasota-bradenton,970,apartment,687,1,1.0,0,0,1,0,0,0,,,fl
158811,duluth / superior,1495,apartment,1100,2,2.0,1,1,0,0,0,0,,,mn
200199,central NJ,1728,apartment,545,1,1.0,1,1,1,0,0,0,,,nj
292949,college station,669,apartment,576,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,tx
151893,grand rapids,1250,townhouse,1075,2,1.5,1,1,1,0,0,0,w/d in unit,carport,mi
57260,south florida,2000,house,1750,5,2.0,0,0,1,0,0,0,w/d in unit,attached garage,fl
96904,bloomington,635,apartment,508,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,in
91686,peoria,719,apartment,820,2,1.0,0,0,1,0,0,0,laundry on site,off-street parking,il
176213,asheville,1215,apartment,964,2,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,nc
58847,space coast,1245,condo,935,2,2.0,1,1,0,0,0,0,w/d in unit,off-street parking,fl
298125,el paso,900,apartment,1001,2,1.0,1,1,1,0,0,0,w/d hookups,,tx
173592,billings,756,apartment,881,2,1.0,1,1,1,0,0,0,,,mt
368815,chico,2300,apartment,1410,4,2.0,1,1,1,1,0,1,w/d in unit,off-street parking,ca
266735,greenville / upstate,1558,apartment,1206,2,2.0,1,1,0,1,0,1,w/d in unit,,sc
105252,des moines,1635,apartment,1110,2,2.0,1,1,0,0,0,0,,,ia
103071,ames,599,apartment,850,2,1.0,1,1,1,0,0,1,laundry in bldg,carport,ia
205537,albuquerque,1125,townhouse,1100,2,1.5,0,0,1,0,0,0,w/d hookups,off-street parking,nm
263528,columbia,810,apartment,685,1,1.0,0,0,1,0,0,0,,,sc
273571,chattanooga,850,apartment,850,1,1.0,1,1,1,0,0,0,,,tn
8513,SF bay area,2550,apartment,933,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
89339,champaign urbana,1059,apartment,1664,4,3.0,1,1,1,1,0,0,w/d in unit,off-street parking,il
11235,stockton,1475,apartment,1156,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
17325,boulder,1850,apartment,750,1,1.0,0,0,0,0,0,1,laundry in bldg,carport,co
373342,inland empire,1265,apartment,491,1,1.0,0,0,1,0,0,0,,,ca
28277,hartford,1330,apartment,1015,2,1.0,1,1,1,0,0,0,laundry in bldg,off-street parking,ct
58766,space coast,1382,apartment,965,2,2.0,1,1,1,1,0,0,w/d in unit,detached garage,fl
188214,raleigh / durham / CH,1090,townhouse,827,2,1.5,1,1,1,0,0,0,w/d in unit,off-street parking,nc
64542,tampa bay area,1285,apartment,848,1,1.0,1,1,1,0,0,0,w/d in unit,street parking,fl
20650,denver,2949,apartment,1328,2,2.0,1,1,0,0,0,0,w/d in unit,attached garage,co
313032,victoria,750,apartment,650,1,1.0,0,0,0,0,0,0,no laundry on site,off-street parking,tx
26171,pueblo,1450,house,2688,4,3.0,0,1,1,0,0,0,w/d hookups,attached garage,co
323220,fredericksburg,1149,apartment,1093,2,2.5,1,1,1,0,0,0,w/d hookups,,va
190027,wilmington,1100,apartment,1100,3,2.0,1,1,1,0,0,0,,,nc
43721,jacksonville,1495,apartment,1227,2,2.0,0,0,0,0,0,0,w/d hookups,attached garage,fl
259315,rhode island,2700,house,2000,3,2.5,0,0,0,0,0,0,w/d in unit,attached garage,ri
58063,south florida,1499,apartment,760,1,1.0,0,0,1,0,0,0,,,fl
111425,"kansas city, MO",1266,apartment,1170,2,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,ks
137629,frederick,1344,apartment,805,2,1.5,1,1,1,0,0,0,w/d in unit,off-street parking,md
235722,lawton,500,apartment,448,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ok
122014,lexington,775,apartment,960,2,2.0,1,1,0,0,0,0,w/d hookups,off-street parking,ky
192647,winston-salem,1561,apartment,1317,3,2.0,1,1,1,0,0,0,w/d hookups,,nc
10029,stockton,1370,apartment,885,2,1.0,1,1,1,0,0,0,laundry on site,carport,ca
15930,boulder,1865,apartment,1050,2,1.5,1,1,1,0,0,0,laundry on site,off-street parking,co
233516,toledo,280,apartment,420,1,2.0,1,1,1,0,0,1,laundry on site,street parking,oh
138968,southern maryland,900,house,1412,4,1.5,1,1,1,0,0,0,,,md
382626,orange county,1655,apartment,706,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
238462,texoma,1035,apartment,1327,3,1.5,1,1,1,0,0,0,w/d in unit,street parking,ok
366026,little rock,1275,condo,2199,5,2.5,1,1,1,0,0,0,,,ar
115536,topeka,775,apartment,1200,2,2.0,1,1,1,0,0,0,w/d hookups,carport,ks
249040,salem,1400,apartment,1052,3,2.0,1,1,0,0,0,0,w/d hookups,carport,or
155326,lansing,710,apartment,1000,2,1.0,1,1,1,0,0,0,laundry in bldg,street parking,mi
12755,ventura county,2080,apartment,882,1,1.0,1,1,1,0,0,0,w/d in unit,,ca
30136,new haven,1550,apartment,711,2,1.0,1,1,0,0,0,0,laundry in bldg,off-street parking,ct
233241,toledo,799,house,1116,3,2.0,0,0,1,0,0,0,,,oh
96861,bloomington,590,apartment,1200,2,2.0,1,1,1,0,0,1,laundry on site,off-street parking,in
173149,springfield,675,house,1601,3,2.0,1,1,0,0,0,0,w/d in unit,attached garage,mo
14564,ventura county,1579,apartment,695,1,1.0,0,0,1,0,0,0,,,ca
308802,san antonio,1200,apartment,1150,3,2.0,0,0,1,0,0,0,,,tx
171572,columbia / jeff city,587,apartment,513,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,mo
131919,annapolis,1290,apartment,805,1,1.0,1,1,1,0,0,0,,,md
312994,tyler / east TX,610,house,690,3,1.0,0,0,1,0,0,0,,,tx
69553,atlanta,1211,apartment,1100,1,2.0,0,0,1,0,0,0,,,ga
42033,jacksonville,675,apartment,710,2,1.0,1,1,0,0,0,0,,,fl
72559,augusta,845,apartment,960,2,1.0,0,0,1,0,0,0,w/d hookups,off-street parking,ga
60812,st augustine,2820,house,3200,5,3.0,1,1,1,0,0,0,w/d hookups,attached garage,fl
337234,seattle-tacoma,2156,apartment,613,1,1.0,1,1,0,1,0,0,w/d in unit,attached garage,wa
275200,clarksville,1300,house,2798,3,3.0,1,1,1,0,0,0,,,tn
126102,houma,1319,apartment,1491,3,3.0,1,1,1,0,0,0,w/d in unit,,la
127447,lafayette,1259,apartment,1325,3,2.0,1,1,0,0,0,0,,,la
361150,sierra vista,535,apartment,476,1,1.0,1,1,1,0,0,0,laundry on site,carport,az
19304,colorado springs,985,apartment,825,2,1.0,1,1,0,0,0,0,laundry on site,off-street parking,co
306742,provo / orem,1329,apartment,1100,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ut
97220,bloomington,635,apartment,508,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,in
294636,corpus christi,540,house,780,2,2.0,0,0,1,0,0,0,,,tx
134195,baltimore,1885,apartment,1232,2,2.0,0,0,1,0,0,0,,,md
378174,modesto,1125,apartment,504,0,1.0,1,1,1,0,0,0,laundry on site,carport,ca
59947,space coast,1069,apartment,1036,1,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,fl
242126,corvallis/albany,1380,apartment,952,2,2.0,1,1,0,0,0,0,w/d hookups,,or
41706,gainesville,925,apartment,810,1,1.0,1,1,1,0,0,0,w/d hookups,no parking,fl
347688,birmingham,999,house,1601,3,2.0,1,1,1,0,0,0,w/d hookups,attached garage,al
226357,cincinnati,860,apartment,740,1,1.5,0,0,1,0,0,0,laundry on site,off-street parking,oh
140536,boston,1824,apartment,648,1,1.0,0,1,1,0,0,0,laundry on site,detached garage,ma
69,reno / tahoe,1415,apartment,796,1,1.0,1,1,1,0,0,0,w/d in unit,detached garage,ca
112259,"kansas city, MO",735,apartment,834,1,1.0,1,1,0,0,0,0,laundry on site,,ks
166985,st joseph,675,duplex,512,2,1.0,0,0,0,0,0,0,w/d hookups,off-street parking,mo
253004,lehigh valley,1667,apartment,1100,2,1.5,1,1,1,0,0,0,w/d in unit,off-street parking,pa
1123,reno / tahoe,1439,apartment,1040,2,2.0,0,0,1,0,0,0,,,ca
31013,"washington, DC",1165,apartment,685,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,dc
248753,salem,1050,apartment,828,2,1.0,0,0,0,0,0,0,laundry on site,off-street parking,or
187323,raleigh / durham / CH,1345,apartment,1065,2,2.0,0,0,0,0,0,0,w/d hookups,,nc
127220,lafayette,1009,apartment,950,2,2.0,0,0,1,0,0,0,w/d hookups,,la
146601,battle creek,545,apartment,908,1,1.0,1,1,1,0,0,0,laundry in bldg,,mi
381237,orange county,2130,apartment,1000,2,1.0,1,0,1,0,0,0,laundry on site,carport,ca
311323,san marcos,819,apartment,702,1,1.0,1,1,1,0,0,0,,,tx
308817,san antonio,629,apartment,350,0,1.0,0,0,1,0,0,0,laundry on site,,tx
21408,denver,1413,apartment,696,1,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,co
331545,roanoke,650,apartment,990,2,1.0,1,1,0,1,0,0,laundry in bldg,off-street parking,va
130540,shreveport,870,apartment,981,2,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,la
305226,odessa / midland,1860,condo,1513,2,2.5,1,1,0,0,0,0,w/d hookups,attached garage,tx
236179,oklahoma city,509,house,1965,3,2.5,0,0,1,0,0,0,w/d hookups,attached garage,ok
181244,fayetteville,750,apartment,950,2,2.0,0,0,1,0,0,0,,,nc
301808,killeen / temple / ft hood,925,apartment,820,2,1.0,1,1,0,0,0,1,w/d in unit,attached garage,tx
247785,salem,1290,apartment,1038,2,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,or
21249,denver,1585,apartment,1006,2,2.0,1,1,0,0,0,0,w/d in unit,detached garage,co
52339,panama city,1245,apartment,1050,1,1.0,1,1,1,0,0,0,w/d hookups,,fl
307668,san antonio,884,apartment,597,1,1.0,0,0,1,0,0,0,,,tx
379417,monterey bay,2100,apartment,625,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
216428,syracuse,825,manufactured,880,3,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,ny
341880,kenosha-racine,936,apartment,1375,3,2.0,0,0,1,0,0,0,,,wi
171132,north mississippi,995,apartment,1250,3,2.0,1,1,1,0,0,0,,,ms
112809,lawrence,1095,apartment,1200,2,2.0,0,1,0,0,0,0,w/d in unit,attached garage,ks
154316,lansing,890,apartment,900,1,1.0,0,0,1,0,0,0,,,mi
213991,rochester,675,apartment,650,1,1.0,0,0,1,0,0,0,,off-street parking,ny
14254,ventura county,2000,apartment,850,2,1.5,1,1,1,0,0,0,laundry on site,carport,ca
10334,stockton,1800,apartment,761,1,1.0,1,1,1,0,1,0,w/d in unit,,ca
368587,bakersfield,880,apartment,800,1,1.0,0,0,1,0,0,0,laundry on site,carport,ca
170328,jackson,775,apartment,1089,2,2.0,0,0,1,0,0,0,,,ms
113742,manhattan,735,apartment,825,2,1.5,1,1,1,0,0,0,laundry in bldg,off-street parking,ks
38077,ft myers / SW florida,1400,condo,858,1,1.0,0,0,0,0,0,0,,,fl
213332,new york city,1600,apartment,850,2,1.0,0,0,0,0,0,0,,off-street parking,ny
111322,"kansas city, MO",1295,duplex,1342,3,1.5,1,1,1,0,0,0,w/d hookups,attached garage,ks
356842,anchorage / mat-su,735,apartment,360,0,1.0,1,0,1,0,0,0,laundry in bldg,off-street parking,ak
324532,fredericksburg,1465,apartment,1132,2,2.0,1,1,1,0,0,0,w/d in unit,,va
325949,lynchburg,1115,apartment,1360,3,2.0,1,1,0,0,0,0,w/d in unit,street parking,va
141695,western massachusetts,1600,in-law,1200,2,1.0,0,0,0,0,0,0,w/d hookups,detached garage,ma
304544,mcallen / edinburg,800,apartment,900,2,2.0,0,0,1,0,0,0,w/d in unit,carport,tx
18464,colorado springs,1315,apartment,869,1,1.0,1,1,0,0,0,0,w/d in unit,,co
66277,treasure coast,1190,apartment,889,2,1.0,0,0,1,0,0,0,,,fl
295894,dallas / fort worth,2110,apartment,1352,3,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,tx
70442,atlanta,900,apartment,700,1,1.0,0,0,1,0,0,0,,,ga
156728,muskegon,1200,apartment,1200,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,mi
3203,sacramento,1514,apartment,900,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
327058,norfolk / hampton roads,636,apartment,850,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,va
304171,mcallen / edinburg,1200,house,1500,3,2.0,1,1,1,0,0,0,w/d in unit,attached garage,tx
225905,cincinnati,1020,apartment,1072,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,oh
43836,jacksonville,1495,apartment,1227,2,2.0,0,0,0,0,0,0,w/d hookups,attached garage,fl
169620,jackson,724,apartment,704,1,1.0,0,0,1,0,0,0,w/d hookups,street parking,ms
213164,new york city,3295,loft,700,1,1.0,1,0,1,0,0,0,,,ny
16339,boulder,1414,apartment,611,1,1.0,0,0,1,0,0,0,,,co
13109,ventura county,2150,apartment,893,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
22171,denver,1904,apartment,1081,2,2.0,1,1,1,0,0,0,,,co
286787,amarillo,615,apartment,364,0,1.0,1,1,0,1,0,1,laundry on site,,tx
95525,"st louis, MO",575,apartment,540,1,1.0,1,1,0,1,0,0,w/d in unit,,il
285137,amarillo,1300,apartment,1520,3,2.0,1,1,1,0,0,0,,,tx
3995,san diego,1300,house,1120,3,2.0,1,1,1,1,0,0,w/d in unit,attached garage,ca
366099,little rock,710,apartment,677,1,1.0,1,1,0,0,0,0,w/d hookups,,ar
43719,jacksonville,984,apartment,780,1,1.0,1,1,1,0,0,0,w/d in unit,,fl
53973,pensacola,850,apartment,900,2,1.0,1,1,1,0,0,0,w/d hookups,,fl
175322,asheville,1170,apartment,964,2,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,nc
44488,jacksonville,873,apartment,743,1,1.0,0,0,1,0,0,0,,,fl
228723,columbus,0,apartment,857,2,2.0,1,1,0,1,0,0,w/d in unit,detached garage,oh
3380,sacramento,1105,apartment,650,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
250647,harrisburg,1660,townhouse,1349,3,2.5,1,1,0,0,0,0,w/d in unit,off-street parking,pa
263693,columbia,1265,apartment,1214,3,2.0,1,1,1,0,0,0,,,sc
280941,memphis,833,townhouse,1250,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,tn
114511,topeka,700,apartment,875,2,1.5,1,1,1,0,0,0,laundry in bldg,off-street parking,ks
94604,"st louis, MO",775,house,792,2,1.0,1,1,0,0,0,0,w/d hookups,attached garage,il
119238,huntington-ashland,675,apartment,1250,2,1.0,0,0,1,0,0,0,w/d hookups,off-street parking,ky
302074,killeen / temple / ft hood,1289,house,2580,5,2.5,1,1,1,0,0,0,w/d in unit,attached garage,tx
157841,saginaw-midland-baycity,813,apartment,875,1,1.0,1,1,0,1,0,0,laundry in bldg,off-street parking,mi
168729,jackson,615,apartment,641,1,1.0,0,0,1,0,0,0,laundry on site,off-street parking,ms
246512,portland,995,apartment,580,1,1.0,1,0,0,0,0,0,laundry on site,off-street parking,or
308497,san antonio,1372,apartment,1175,3,2.0,0,0,1,0,0,0,,,tx
172725,springfield,695,house,912,2,1.0,0,0,1,0,0,0,,,mo
112999,lawrence,687,apartment,640,1,1.0,1,1,1,0,0,0,laundry in bldg,off-street parking,ks
343010,madison,1395,apartment,850,2,1.0,1,1,0,0,0,0,laundry in bldg,off-street parking,wi
143155,worcester / central MA,1800,townhouse,1100,2,2.5,1,0,1,0,0,0,w/d in unit,attached garage,ma
326462,norfolk / hampton roads,1101,apartment,900,1,1.0,1,1,1,0,0,0,w/d in unit,street parking,va
309132,san antonio,1080,apartment,1229,2,5.0,0,0,1,0,0,0,,,tx
370877,fresno / madera,850,apartment,759,2,1.0,1,0,1,0,0,0,laundry on site,carport,ca
248838,salem,1150,apartment,955,2,2.0,1,1,0,0,0,0,w/d in unit,off-street parking,or
163252,rochester,1275,apartment,1045,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,mn
224924,cincinnati,805,apartment,850,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,oh
246392,portland,2239,apartment,838,1,1.0,1,1,0,1,1,0,w/d in unit,attached garage,or
122402,louisville,799,apartment,932,2,1.5,1,1,1,0,0,0,laundry on site,off-street parking,ky
329004,richmond,1529,apartment,1340,3,2.0,1,1,0,1,0,1,w/d in unit,detached garage,va
281984,nashville,1850,house,2201,4,3.5,0,0,1,0,0,0,w/d hookups,carport,tn
306213,odessa / midland,1370,apartment,888,2,2.0,1,1,0,0,0,0,laundry on site,off-street parking,tx
169083,jackson,649,apartment,779,1,1.0,1,1,1,0,0,0,laundry on site,street parking,ms
76009,macon / warner robins,655,apartment,950,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ga
253380,philadelphia,1600,apartment,836,1,1.0,0,0,1,0,0,0,,,pa
339603,appleton-oshkosh-FDL,975,manufactured,1023,3,2.0,0,0,1,0,0,0,w/d hookups,off-street parking,wi
216046,syracuse,1595,apartment,1138,2,2.0,1,1,0,0,0,0,w/d in unit,detached garage,ny
26397,western slope,850,apartment,650,1,1.0,0,0,0,0,0,0,laundry in bldg,street parking,co
56451,sarasota-bradenton,882,apartment,954,2,2.0,1,1,1,0,0,0,w/d hookups,,fl
95743,"st louis, MO",2010,house,2500,5,3.5,1,1,1,1,0,0,w/d hookups,attached garage,il
340587,eau claire,1100,house,1000,2,2.0,0,0,0,0,0,0,w/d hookups,attached garage,wi
156016,lansing,1299,apartment,1117,3,2.0,1,1,0,0,0,0,w/d in unit,,mi
67904,athens,1029,apartment,1182,3,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,ga
